Date,Price,Open,High,Low,Vol.,Change %
"Aug 19, 2010",132.45,132.07,132.62,131.78,899.58K,0.22%
"Aug 18, 2010",132.16,131.69,132.31,131.68,756.83K,0.36%
"Aug 17, 2010",131.69,132.05,132.17,131.64,807.20K,-0.27%
"Aug 16, 2010",132.05,131.53,132.3,131.38,724.23K,0.43%
"Aug 13, 2010",131.48,130.98,131.54,130.94,698.26K,0.20%
"Aug 12, 2010",131.22,130.98,131.4,130.9,731.65K,0.06%
"Aug 11, 2010",131.14,130.58,131.24,130.41,803.89K,0.92%
"Aug 10, 2010",129.95,130,130.59,129.81,523.61K,-0.06%
"Aug 09, 2010",130.03,130.06,130.14,129.97,338.45K,-0.05%
"Aug 06, 2010",130.1,129.64,130.15,129.44,713.90K,0.36%
"Aug 05, 2010",129.63,129.23,129.76,129.05,709.36K,0.33%
"Aug 04, 2010",129.2,129.24,129.47,129.08,654.91K,0.11%
"Aug 03, 2010",129.06,128.36,129.29,128.34,755.19K,0.56%
"Aug 02, 2010",128.34,128.46,128.5,128.09,496.08K,-0.16%
"Jul 30, 2010",128.55,128.3,128.66,128.21,806.25K,0.38%
"Jul 29, 2010",128.06,128,128.28,127.78,656.18K,0.20%
"Jul 28, 2010",127.81,127.63,128.05,127.45,715.48K,0.09%
"Jul 27, 2010",127.69,127.82,127.84,127.37,782.76K,-0.03%
"Jul 26, 2010",127.73,128.03,128.27,127.58,599.39K,-0.47%
"Jul 23, 2010",128.33,128.8,128.91,127.85,802.16K,-0.28%
"Jul 22, 2010",128.69,129.21,129.43,128.53,702.82K,-0.17%
"Jul 21, 2010",128.91,128.78,129.3,128.59,635.99K,0.01%
"Jul 20, 2010",128.9,128.65,129.14,128.61,667.16K,0.13%
"Jul 19, 2010",128.73,129.16,129.54,128.58,677.01K,-0.33%
"Jul 16, 2010",129.16,128.84,129.39,128.42,709.22K,0.28%
"Jul 15, 2010",128.8,128.92,129.02,128.18,926.74K,0.06%
"Jul 14, 2010",128.72,128.65,129.09,128.57,695.22K,-0.12%
"Jul 13, 2010",128.88,129.26,129.47,128.66,705.89K,-0.36%
"Jul 12, 2010",129.34,128.84,129.53,128.76,487.38K,0.35%
"Jul 09, 2010",128.89,128.78,129.07,128.49,666.92K,-0.03%
"Jul 08, 2010",128.93,129.1,129.36,128.66,786.34K,-0.22%
"Jul 07, 2010",129.22,129.4,129.57,129.08,544.19K,-0.06%
"Jul 06, 2010",129.3,129.65,129.7,129.05,672.10K,-0.31%
"Jul 05, 2010",129.7,129.41,129.82,129.34,277.29K,0.30%
"Jul 02, 2010",129.31,129.42,129.61,129.05,604.10K,-0.19%
"Jul 01, 2010",129.56,129.54,129.65,128.98,957.47K,0.13%
"Jun 30, 2010",129.39,129.61,129.68,129.22,795.33K,-0.03%
"Jun 29, 2010",129.43,129.56,129.86,129.36,831.87K,0.18%
"Jun 28, 2010",129.2,128.96,129.39,128.67,640.28K,0.17%
"Jun 25, 2010",128.98,128.9,129.15,128.78,574.73K,-0.12%
"Jun 24, 2010",129.14,128.42,129.16,128.4,712.81K,0.40%
"Jun 23, 2010",128.62,128.35,128.67,128.19,704.38K,0.41%
"Jun 22, 2010",128.1,127.64,128.46,127.47,895.74K,0.55%
"Jun 21, 2010",127.4,127.37,127.63,127.12,644.91K,-0.21%
"Jun 18, 2010",127.67,128.27,128.41,127.54,711.63K,-0.54%
"Jun 17, 2010",128.36,128.4,128.54,127.89,1.01M,0.02%
"Jun 16, 2010",128.33,128.15,128.7,127.92,812.51K,0.02%
"Jun 15, 2010",128.3,128.91,129.14,128.03,1.01M,-0.18%
"Jun 14, 2010",128.53,128.98,129.02,128.41,655.81K,-0.56%
"Jun 11, 2010",129.25,128.57,129.3,128.4,799.42K,0.44%
"Jun 10, 2010",128.68,129.27,129.39,128.38,946.26K,-0.40%
"Jun 09, 2010",129.2,129.62,129.72,129.08,836.07K,-0.74%
"Jun 08, 2010",130.16,129.64,130.37,129.64,34.45K,0.32%
"Jun 07, 2010",129.74,129.6,129.99,129.41,496.00K,0.27%
"Jun 04, 2010",129.39,128.79,129.63,128.54,1.36M,0.69%
"Jun 03, 2010",128.5,128.5,128.8,128.13,1.44M,-0.23%
"Jun 02, 2010",128.8,128.71,129.17,128.62,1.10M,0.11%
"Jun 01, 2010",128.66,128.65,129.43,128.34,1.05M,-0.11%
"May 31, 2010",128.8,128.61,128.85,128.52,161.71K,0.23%
"May 28, 2010",128.5,128.11,128.87,128.11,771.50K,0.13%
"May 27, 2010",128.33,128.62,128.76,128.11,1.01M,-0.30%
"May 26, 2010",128.72,129.13,129.23,128.6,1.14M,-0.51%
"May 25, 2010",129.38,128.85,129.55,128.82,1.02M,0.60%
"May 24, 2010",128.61,128.41,128.9,128.31,598.25K,0.05%
"May 21, 2010",128.54,128.17,128.97,128.1,1.18M,0.18%
"May 20, 2010",128.31,127.55,128.58,127.19,1.17M,0.66%
"May 19, 2010",127.47,127.72,127.84,127.04,1.12M,0.48%
"May 18, 2010",126.86,126.41,127.81,126.26,1.07M,0.21%
"May 17, 2010",126.6,126.95,126.97,126.21,745.27K,0.06%
"May 14, 2010",126.53,126.12,126.85,125.98,900.06K,0.53%
