Date,Price,Open,High,Low,Change%
"Jun 16, 2001",9.751,9.751,9.751,9.751,0.01%
"Jun 15, 2001",9.75,9.75,9.75,9.75,-0.08%
"Jun 14, 2001",9.758,9.758,9.758,9.758,-0.02%
"Jun 13, 2001",9.76,9.76,9.76,9.76,-0.63%
"Jun 12, 2001",9.822,9.822,9.822,9.822,0.03%
"Jun 11, 2001",9.819,9.819,9.819,9.819,-0.03%
"Jun 09, 2001",9.822,9.822,9.822,9.822,-0.69%
"Jun 08, 2001",9.89,9.89,9.89,9.89,-0.28%
"Jun 07, 2001",9.918,9.918,9.918,9.918,0.33%
"Jun 06, 2001",9.885,9.885,9.885,9.885,-0.46%
"Jun 05, 2001",9.931,9.931,9.931,9.931,0.02%
"Jun 04, 2001",9.929,9.929,9.929,9.929,0.77%
"Jun 02, 2001",9.853,9.853,9.853,9.853,0.50%
"Jun 01, 2001",9.804,9.804,9.804,9.804,0.43%
"May 31, 2001",9.762,9.762,9.762,9.762,-0.25%
"May 30, 2001",9.786,9.786,9.786,9.786,-0.26%
"May 29, 2001",9.812,9.812,9.812,9.812,0.00%
"May 28, 2001",9.812,9.812,9.812,9.812,-0.66%
"May 26, 2001",9.877,9.877,9.877,9.877,-0.40%
"May 25, 2001",9.917,9.917,9.917,9.917,-0.30%
"May 24, 2001",9.947,9.947,9.947,9.947,-0.20%
"May 23, 2001",9.967,9.967,9.967,9.967,-0.09%
"May 22, 2001",9.976,9.976,9.976,9.976,0.10%
"May 21, 2001",9.966,9.966,9.966,9.966,0.09%
"May 19, 2001",9.957,9.957,9.957,9.957,0.02%
"May 18, 2001",9.955,9.955,9.955,9.955,0.10%
"May 17, 2001",9.945,9.945,9.945,9.945,-0.35%
"May 16, 2001",9.98,9.98,9.98,9.98,-0.51%
"May 15, 2001",10.031,10.031,10.031,10.031,-0.16%
"May 14, 2001",10.047,10.047,10.047,10.047,0.03%
"May 12, 2001",10.044,10.044,10.044,10.044,0.11%
"May 11, 2001",10.033,10.033,10.033,10.033,-0.31%
"May 10, 2001",10.064,10.064,10.064,10.064,-0.32%
"May 09, 2001",10.096,10.096,10.096,10.096,-0.11%
"May 08, 2001",10.107,10.107,10.107,10.107,0.22%
"May 05, 2001",10.085,10.085,10.085,10.085,0.09%
"May 04, 2001",10.076,10.076,10.076,10.076,-0.27%
"May 03, 2001",10.103,10.103,10.103,10.103,-0.12%
"May 02, 2001",10.115,10.115,10.115,10.115,-0.10%
"Apr 30, 2001",10.125,10.125,10.125,10.125,-0.05%
"Apr 28, 2001",10.13,10.13,10.13,10.13,0.30%
"Apr 27, 2001",10.1,10.1,10.1,10.1,-0.59%
"Apr 26, 2001",10.16,10.16,10.16,10.16,-0.47%
"Apr 25, 2001",10.208,10.208,10.208,10.208,-0.04%
"Apr 24, 2001",10.212,10.212,10.212,10.212,-0.57%
"Apr 23, 2001",10.271,10.271,10.271,10.271,-0.21%
"Apr 21, 2001",10.293,10.293,10.293,10.293,-0.22%
"Apr 20, 2001",10.316,10.316,10.316,10.316,-0.15%
"Apr 19, 2001",10.331,10.331,10.331,10.331,0.00%
"Apr 18, 2001",10.331,10.331,10.331,10.331,-0.37%
"Apr 17, 2001",10.369,10.369,10.369,10.369,-0.14%
"Apr 16, 2001",10.384,10.384,10.384,10.384,0.24%
"Apr 12, 2001",10.359,10.359,10.359,10.359,0.12%
"Apr 11, 2001",10.347,10.347,10.347,10.347,0.29%
"Apr 10, 2001",10.317,10.317,10.317,10.317,-1.00%
"Apr 09, 2001",10.421,10.421,10.421,10.421,0.06%
"Apr 07, 2001",10.415,10.415,10.415,10.415,-0.22%
"Apr 04, 2001",10.438,10.438,10.438,10.438,0.29%
"Apr 03, 2001",10.408,10.408,10.408,10.408,0.73%
"Mar 31, 2001",10.333,10.333,10.333,10.333,-0.36%
"Mar 30, 2001",10.37,10.37,10.37,10.37,-1.15%
"Mar 29, 2001",10.491,10.491,10.491,10.491,-0.14%
"Mar 28, 2001",10.506,10.506,10.506,10.506,0.94%
"Mar 27, 2001",10.408,10.408,10.408,10.408,0.00%
"Mar 24, 2001",10.408,10.408,10.408,10.408,0.21%
"Mar 23, 2001",10.386,10.386,10.386,10.386,-0.51%
"Mar 22, 2001",10.439,10.439,10.439,10.439,0.22%
"Mar 21, 2001",10.416,10.416,10.416,10.416,0.00%
"Mar 20, 2001",10.416,10.416,10.416,10.416,-0.22%
"Mar 19, 2001",10.439,10.439,10.439,10.439,0.14%
"Mar 17, 2001",10.424,10.424,10.424,10.424,-0.15%
"Mar 16, 2001",10.44,10.44,10.44,10.44,0.16%
"Mar 15, 2001",10.423,10.423,10.423,10.423,0.06%
