Date,Price,Open,High,Low,Vol.,Change %
"Jun 05, 2008",105.41,106.02,106.03,105.39,3.78K,-0.74%
"Jun 04, 2008",106.2,106,106.3,105.83,11.97K,0.64%
"Jun 03, 2008",105.52,106.4,106.4,105.47,12.03K,-0.57%
"Jun 02, 2008",106.13,105.98,106.34,105.92,11.22K,0.15%
"May 30, 2008",105.97,105.74,106.29,105.67,34.82K,0.32%
"May 29, 2008",105.63,106.09,106.17,105.42,71.16K,-0.51%
"May 28, 2008",106.17,106.25,106.45,106.15,221.26K,-0.25%
"May 27, 2008",106.44,106.31,106.63,106.27,271.82K,-0.02%
"May 23, 2008",106.46,106.15,106.8,106.11,135.17K,0.17%
"May 22, 2008",106.28,106.97,106.98,106.15,114.08K,-0.61%
"May 21, 2008",106.93,107.45,107.5,106.8,64.62K,-0.53%
"May 20, 2008",107.5,107.4,107.69,107.2,61.43K,0.25%
"May 19, 2008",107.23,107.54,107.83,107.12,49.20K,-0.37%
"May 16, 2008",107.63,107.21,107.71,107.2,65.94K,0.49%
"May 15, 2008",107.11,107.15,107.47,106.48,111.33K,-0.22%
"May 14, 2008",107.35,107.92,107.94,107.25,88.04K,-0.77%
"May 13, 2008",108.18,108.89,109.2,107.93,90.15K,-0.72%
"May 12, 2008",108.96,109.16,109.18,108.53,61.08K,-0.11%
"May 09, 2008",109.08,108.93,109.22,108.88,56.58K,0.25%
"May 08, 2008",108.81,108.32,109.14,108.12,89.57K,0.74%
"May 07, 2008",108.01,108.19,108.27,107.89,66.13K,-0.27%
"May 06, 2008",108.3,108.05,108.47,107.82,51.22K,0.54%
"May 02, 2008",107.72,108.43,108.54,107.66,73.34K,-0.85%
"May 01, 2008",108.64,108.47,108.75,108.07,31.69K,0.32%
"Apr 30, 2008",108.29,108.2,108.41,108.02,80.94K,0.03%
"Apr 29, 2008",108.26,107.93,108.33,107.9,67.19K,0.37%
"Apr 28, 2008",107.86,107.5,107.98,107.5,46.17K,0.24%
"Apr 25, 2008",107.6,107.5,107.68,106.99,77.66K,-0.07%
"Apr 24, 2008",107.68,108.49,108.68,107.55,106.97K,-0.76%
"Apr 23, 2008",108.5,108.46,108.85,108.35,76.50K,0.17%
"Apr 22, 2008",108.32,108.51,108.55,108.03,76.04K,-0.21%
"Apr 21, 2008",108.55,108.21,108.82,108.21,72.09K,0.43%
"Apr 18, 2008",108.08,108.64,108.78,107.85,86.78K,-0.71%
"Apr 17, 2008",108.85,109.74,109.82,108.63,130.61K,-0.81%
"Apr 16, 2008",109.74,110.53,110.57,109.69,91.44K,-0.71%
"Apr 15, 2008",110.53,110.41,110.83,110.3,74.78K,0.00%
"Apr 14, 2008",110.53,110.74,110.89,110.35,61.23K,-0.15%
"Apr 11, 2008",110.7,109.92,110.74,109.92,68.70K,0.47%
"Apr 10, 2008",110.18,110.13,110.72,109.91,78.86K,0.31%
"Apr 09, 2008",109.84,110.06,110.32,109.56,73.03K,-0.16%
"Apr 08, 2008",110.02,110.04,110.36,109.94,65.12K,0.04%
"Apr 07, 2008",109.98,110.21,110.26,109.82,46.89K,-0.38%
"Apr 04, 2008",110.4,110.34,110.68,110.13,73.14K,-0.04%
"Apr 03, 2008",110.44,110.46,110.98,110.29,72.09K,-0.11%
"Apr 02, 2008",110.56,110.4,110.89,110.38,85.34K,0.03%
"Apr 01, 2008",110.53,111.27,111.32,110.34,89.88K,-0.69%
"Mar 31, 2008",111.3,110.8,111.39,110.8,113.50K,0.50%
"Mar 28, 2008",110.75,110.02,110.88,110.01,76.94K,0.49%
"Mar 27, 2008",110.21,110.33,110.33,110.2,0.15K,-0.36%
"Mar 26, 2008",110.61,110.82,110.88,110.61,0.65K,-0.07%
"Mar 25, 2008",110.69,111.27,111.27,110.61,1.06K,-1.11%
"Mar 20, 2008",111.93,112.03,112.03,111.72,2.60K,0.13%
"Mar 19, 2008",111.78,111.51,111.83,111.51,2.89K,0.35%
"Mar 18, 2008",111.39,111.8,111.8,111.39,2.52K,-0.41%
"Mar 17, 2008",111.85,112,112.01,111.66,2.76K,0.27%
"Mar 14, 2008",111.55,111.38,111.55,111.16,0.60K,0.16%
"Mar 13, 2008",111.37,111.18,111.7,111.18,1.53K,0.50%
"Mar 12, 2008",110.82,111.25,111.32,110.66,1.75K,-0.51%
"Mar 11, 2008",111.39,111.58,111.58,111.35,0.28K,-0.54%
"Mar 10, 2008",111.99,111.6,111.99,111.56,1.15K,0.28%
"Mar 07, 2008",111.68,111.39,112.08,111.39,2.31K,0.49%
"Mar 06, 2008",111.14,110.42,111.31,110.42,6.36K,0.65%
"Mar 05, 2008",110.42,110.5,110.91,110.33,27.69K,-0.44%
"Mar 04, 2008",110.91,110.51,110.97,110.3,16.33K,0.27%
"Mar 03, 2008",110.61,110.5,110.89,110.39,31.27K,0.15%
"Feb 29, 2008",110.44,109.58,110.51,109.55,64.65K,0.96%
"Feb 28, 2008",109.39,108.75,109.47,108.67,95.12K,0.66%
"Feb 27, 2008",108.67,108.5,109.08,108.48,220.22K,0.06%
"Feb 26, 2008",108.6,108.59,108.72,108.37,319.66K,0.10%
"Feb 25, 2008",108.49,108.55,108.68,108.4,73.35K,-0.27%
"Feb 22, 2008",108.78,108.87,109.05,108.52,82.36K,-0.03%
"Feb 21, 2008",108.81,108.72,108.9,108.34,115.73K,-0.08%
"Feb 20, 2008",108.9,109.05,109.22,108.65,102.51K,-0.30%
"Feb 19, 2008",109.23,109.05,109.55,109.02,69.39K,0.09%
"Feb 18, 2008",109.13,109.44,109.47,109.04,35.74K,-0.34%
"Feb 15, 2008",109.5,109.19,109.63,109.19,80.91K,0.19%
"Feb 14, 2008",109.29,109.28,109.48,109.07,123.95K,-0.16%
"Feb 13, 2008",109.46,109.61,109.74,109.3,117.80K,0.07%
"Feb 12, 2008",109.38,110.17,110.47,109.36,157.93K,-0.91%
"Feb 11, 2008",110.39,110.92,110.95,110.19,97.40K,-0.41%
"Feb 08, 2008",110.85,110.62,111.01,110.27,79.34K,-0.08%
"Feb 07, 2008",110.94,110.67,111.16,110.67,83.59K,0.26%
"Feb 06, 2008",110.65,111.06,111.11,110.58,85.35K,-0.33%
"Feb 05, 2008",111.02,110.22,111.12,110.17,117.14K,0.67%
"Feb 04, 2008",110.28,110.31,110.5,110.04,53.77K,-0.27%
"Feb 01, 2008",110.58,110.48,110.69,110.18,88.42K,0.01%
"Jan 31, 2008",110.57,110.08,110.75,110.07,111.64K,0.62%
"Jan 30, 2008",109.89,109.92,110.14,109.58,100.41K,0.12%
"Jan 29, 2008",109.76,110.23,110.31,109.66,88.04K,-0.68%
"Jan 28, 2008",110.51,110.34,110.66,110.33,58.40K,0.27%
"Jan 25, 2008",110.21,109.91,110.39,109.73,104.43K,0.05%
"Jan 24, 2008",110.16,110.74,110.88,110.06,120.34K,-0.77%
"Jan 23, 2008",111.01,110.73,111.51,110.57,124.56K,0.53%
"Jan 22, 2008",110.42,112.25,112.57,110.39,165.08K,-0.97%
"Jan 21, 2008",111.5,111.05,111.57,110.94,56.66K,0.50%
"Jan 18, 2008",110.94,111.22,111.27,110.64,109.61K,-0.17%
"Jan 17, 2008",111.13,111.21,111.25,110.61,150.74K,-0.23%
"Jan 16, 2008",111.39,111.42,111.61,111.05,102.83K,0.12%
"Jan 15, 2008",111.26,111.19,111.35,110.87,81.77K,0.13%
"Jan 14, 2008",111.12,111.24,111.32,110.91,59.02K,0.11%
"Jan 11, 2008",111,111.14,111.16,110.75,76.96K,-0.15%
"Jan 10, 2008",111.17,111.12,111.25,110.88,89.67K,0.03%
"Jan 09, 2008",111.14,110.95,111.21,110.9,68.80K,0.41%
"Jan 08, 2008",110.69,110.99,110.99,110.6,84.99K,-0.27%
"Jan 07, 2008",110.99,110.96,111.05,110.79,65.18K,-0.01%
"Jan 04, 2008",111,110.59,111.11,110.56,88.82K,0.32%
"Jan 03, 2008",110.65,110.8,110.93,110.58,70.08K,-0.05%
"Jan 02, 2008",110.7,109.87,110.97,109.87,68.92K,0.43%
"Dec 31, 2007",110.23,109.93,110.24,109.81,12.39K,0.31%
"Dec 28, 2007",109.89,109.35,109.93,109.29,23.00K,0.63%
"Dec 27, 2007",109.2,109.07,109.2,108.95,0.09K,-0.46%
"Dec 24, 2007",109.7,109.57,109.7,109.54,1.00K,0.35%
"Dec 21, 2007",109.32,109.44,109.44,109.32,0.99K,-0.36%
"Dec 20, 2007",109.72,109.33,109.72,109.23,1.81K,0.73%
"Dec 19, 2007",108.92,108.91,109.08,108.81,0.19K,0.46%
"Dec 18, 2007",108.42,108.53,108.53,108.17,1.43K,0.03%
"Dec 17, 2007",108.39,108.33,108.46,108.23,7.97K,0.31%
"Dec 14, 2007",108.06,108.27,108.27,108.06,0.27K,-0.22%
"Dec 13, 2007",108.3,108.28,108.4,108.09,1.27K,0.25%
"Dec 12, 2007",108.03,109.07,109.18,107.99,2.23K,-1.01%
"Dec 11, 2007",109.13,109.01,109.14,108.87,1.17K,0.22%
"Dec 10, 2007",108.89,109.55,109.56,108.87,0.80K,-0.44%
"Dec 07, 2007",109.37,109.99,109.99,109.37,3.65K,-0.68%
"Dec 06, 2007",110.12,110.47,110.72,109.97,9.06K,-0.46%
"Dec 05, 2007",110.63,110.35,110.87,110.32,12.72K,0.22%
"Dec 04, 2007",110.39,109.99,110.4,109.99,23.57K,0.41%
"Dec 03, 2007",109.94,109.67,110.04,109.65,18.34K,0.34%
"Nov 30, 2007",109.57,110.03,110.12,109.47,67.02K,-0.45%
"Nov 29, 2007",110.07,109.27,110.24,109.18,155.63K,0.72%
"Nov 28, 2007",109.28,109.81,109.89,109.14,258.62K,-0.59%
"Nov 27, 2007",109.93,110.25,110.32,109.66,262.25K,-0.19%
"Nov 26, 2007",110.14,110.05,110.23,109.83,180.70K,0.10%
"Nov 23, 2007",110.03,110.52,110.62,109.96,74.08K,-0.39%
"Nov 22, 2007",110.46,110.08,110.48,110.06,30.69K,0.26%
"Nov 21, 2007",110.17,109.98,110.29,109.94,81.97K,0.39%
"Nov 20, 2007",109.74,109.95,110.11,109.65,107.38K,-0.14%
"Nov 19, 2007",109.89,109.68,109.92,109.42,71.31K,0.16%
"Nov 16, 2007",109.71,109.51,109.88,109.4,79.47K,0.30%
"Nov 15, 2007",109.38,108.95,109.53,108.83,95.91K,0.41%
"Nov 14, 2007",108.93,108.52,108.99,108.49,120.57K,0.10%
"Nov 13, 2007",108.82,108.67,109.04,108.54,86.12K,0.06%
"Nov 12, 2007",108.75,108.87,108.97,108.67,36.16K,-0.14%
"Nov 09, 2007",108.9,108.54,108.96,108.32,95.30K,0.38%
"Nov 08, 2007",108.49,108.34,108.66,108.21,109.52K,0.35%
"Nov 07, 2007",108.11,107.88,108.37,107.81,100.27K,0.29%
"Nov 06, 2007",107.8,107.61,107.91,107.6,82.44K,-0.05%
"Nov 05, 2007",107.85,107.98,108.05,107.8,74.65K,0.03%
"Nov 02, 2007",107.82,107.44,107.97,107.25,104.49K,0.40%
